time,pid,x,y,z
1645222114777,MC4267,0.44191605,1.2458655,-0.20342651
1645222114796,MC4267,0.51399344,1.1931185,-0.41417053
1645222114816,MC4267,0.21019518,1.18824,-0.36459446
1645222114836,MC4267,-0.1592776,1.1814104,-0.30550566
1645222114856,MC4267,-0.41246313,1.1176262,-0.25227082
1645222114877,MC4267,-0.47941825,0.9515799,-0.2427581
1645222114897,MC4267,-0.42221975,0.73522586,-0.3164819
1645222114916,MC4267,-0.36977768,0.52307934,-0.34825203
1645222114936,MC4267,-0.33386096,0.4075238,-0.34971553
1645222114957,MC4267,-0.30087122,0.42636636,-0.34727636
1645222114978,MC4267,-0.22495216,0.50155365,-0.35264254
1645222114997,MC4267,-0.108969785,0.6361347,-0.35752088
1645222115016,MC4267,-0.06402813,0.8321827,-0.3819735
1645222115036,MC4267,-0.117262945,0.9953021,-0.37142414
1645222115056,MC4267,-0.18244967,1.0043269,-0.37849772
1645222115078,MC4267,-0.22812308,0.8917594,-0.4359401
1645222115098,MC4267,-0.27525997,0.7660203,-0.48374775
1645222115117,MC4267,-0.30526173,0.67808837,-0.5021025
1645222115137,MC4267,-0.33508053,0.6712587,-0.43667182
1645222115158,MC4267,-0.32556778,0.75699544,-0.4207563
1645222115178,MC4267,-0.32605565,0.86029416,-0.44008666
1645222115199,MC4267,-0.3580087,0.9066993,-0.38977885
1645222115218,MC4267,-0.36928988,0.87663656,-0.3849005
1645222115238,MC4267,-0.3741682,0.8185234,-0.46252698
1645222115258,MC4267,-0.43106177,0.8031567,-0.50942004
1645222115278,MC4267,-0.4642344,0.79486346,-0.51893276
1645222115298,MC4267,-0.20342651,1.083234,-0.16659509
1645222115317,MC4267,0.34258097,1.5852755,-0.30355433
1645222115337,MC4267,0.35819164,1.607472,-0.0854928
1645222115358,MC4267,0.17525414,1.5799093,-0.031282313
1645222115378,MC4267,0.0336605,1.3516034,-0.14360595
1645222115399,MC4267,0.06463792,0.7279084,-0.31184748
1645222115418,MC4267,0.087870985,0.7477266,-0.26910108
1645222115438,MC4267,0.017562002,1.0126811,-0.26202747
1645222115457,MC4267,0.029026086,1.1862888,-0.30233473
1645222115478,MC4267,0.1267147,1.1906793,-0.2755039
1645222115499,MC4267,0.11714099,1.0795753,-0.24812423
1645222115519,MC4267,-0.009085896,0.9943263,-0.18684018
1645222115538,MC4267,-0.17708352,0.8834662,-0.1636681
1645222115558,MC4267,-0.34703246,0.737726,-0.1870841
1645222115579,MC4267,-0.44130626,0.66881955,-0.18464494
1645222115601,MC4267,-0.5125909,0.68717426,-0.20586567
1645222115618,MC4267,-0.4816135,0.77699655,-0.20708527
1645222115638,MC4267,-0.39099845,0.85200095,-0.18684018
1645222115658,MC4267,-0.2891632,0.8353537,-0.23470883
1645222115679,MC4267,-0.25812483,0.71010244,-0.26275924
1645222115698,MC4267,-0.3047739,0.5758263,-0.32136023
